# addr	region	name  (STT_OBJECT in ROM)
0x082F0D70	rom	sActivityGroupInfo
0x082F0DD0	rom	sBgTemplates
0x082F0DD4	rom	sWindowTemplates
0x082F0DE4	rom	sTextColors
0x082F0DE8	rom	sReceivedGiftFlags
0x082F0E10	rom	sCard_TextColorTable
0x082F0E18	rom	sCard_FooterTextOffsets
0x082F0E1C	rom	sCard_WindowTemplates
0x082F0E34	rom	sWonderCardBgPal1
0x082F0E54	rom	sWonderCardBgPal2
0x082F0E74	rom	sWonderCardBgPal3
0x082F0E94	rom	sWonderCardBgPal4
0x082F0EB4	rom	sWonderCardBgPal5
0x082F0ED4	rom	sWonderCardBgPal6
0x082F0EF4	rom	sWonderCardBgPal7
0x082F0F14	rom	sWonderCardBgPal8
0x082F0F34	rom	sWonderCardBgGfx1
0x082F1030	rom	sWonderCardBgTilemap1
0x082F1124	rom	sWonderCardBgGfx2
0x082F1218	rom	sWonderCardBgTilemap2
0x082F1300	rom	sWonderCardBgGfx3
0x082F13D4	rom	sWonderCardBgTilemap3
0x082F14A8	rom	sWonderCardBgGfx7
0x082F16DC	rom	sWonderCardBgTilemap7
0x082F1824	rom	sWonderCardBgGfx8
0x082F1A54	rom	sWonderCardBgTilemap8
0x082F1B9C	rom	sStampShadowPal1
0x082F1BBC	rom	sStampShadowPal2
0x082F1BDC	rom	sStampShadowPal3
0x082F1BFC	rom	sStampShadowPal4
0x082F1C1C	rom	sStampShadowPal5
0x082F1C3C	rom	sStampShadowPal6
0x082F1C5C	rom	sStampShadowPal7
0x082F1C7C	rom	sStampShadowPal8
0x082F1C9C	rom	sStampShadowGfx
0x082F1D00	rom	sSpriteSheet_StampShadow
0x082F1D08	rom	sSpritePalettes_StampShadow
0x082F1D48	rom	sSpriteTemplate_StampShadow
0x082F1D60	rom	sCardGraphics
0x082F1DE0	rom	sNews_TextColorTable
0x082F1DE8	rom	sNews_WindowTemplates
0x082F1DF8	rom	sNews_ArrowsTemplate
0x082F1E08	rom	sWonderNewsPal1
0x082F1E28	rom	sWonderNewsPal7
0x082F1E48	rom	sWonderNewsPal8
0x082F1E68	rom	sWonderNewsGfx1
0x082F1EE8	rom	sWonderNewsTilemap1
0x082F1FC4	rom	sWonderNewsGfx2
0x082F1FF4	rom	sWonderNewsTilemap2
0x082F20B4	rom	sWonderNewsGfx3
0x082F2124	rom	sWonderNewsTilemap3
0x082F21F0	rom	sWonderNewsGfx7
0x082F2280	rom	sWonderNewsTilemap7
0x082F235C	rom	sWonderNewsGfx8
0x082F23EC	rom	sWonderNewsTilemap8
0x082F24C8	rom	sNewsGraphics
0x082F2548	rom	sFuncTable
0x082F257C	rom	sText_CanceledReadingCard
0x082F2598	rom	gMysteryGiftClientScript_Init
0x082F25A8	rom	sClientScript_SendGameData
0x082F25C8	rom	sClientScript_CantAccept
0x082F25D8	rom	sClientScript_CommError
0x082F25E8	rom	sClientScript_NothingSent
0x082F25F8	rom	sClientScript_SaveCard
0x082F2628	rom	sClientScript_SaveNews
0x082F2650	rom	sClientScript_HadNews
0x082F2660	rom	sClientScript_NewsReceived
0x082F2670	rom	sClientScript_AskToss
0x082F2698	rom	sClientScript_Canceled
0x082F26A8	rom	sClientScript_HadCard
0x082F26B8	rom	sClientScript_DynamicError
0x082F26D8	rom	sClientScript_DynamicSuccess
0x082F26F8	rom	sServerScript_CantSend
0x082F2728	rom	sServerScript_CommError
0x082F2758	rom	sServerScript_ClientCanceledNews
0x082F2788	rom	sServerScript_ClientCanceledCard
0x082F27D0	rom	sServerScript_HasNews
0x082F2800	rom	sServerScript_SendNews
0x082F2884	rom	sServerScript_SendCard
0x082F28E4	rom	sServerScript_TossPrompt
0x082F292C	rom	sServerScript_HasCard
0x082F295C	rom	sServerScript_NothingSent
0x082F298C	rom	gMysteryGiftServerScript_SendWonderNews
0x082F29EC	rom	gMysteryGiftServerScript_SendWonderCard
0x082F2A7C	rom	sChatMainFunctions
0x082F2AA4	rom	sKeyboardPageMaxRow
0x082F2AA8	rom	sCaseToggleTable
0x082F2BA8	rom	sUnionRoomKeyboardText
0x082F2C20	rom	sUnusedPalette
0x082F2C40	rom	sChatMessagesWindow_Pal
0x082F2C60	rom	sBgTemplates
0x082F2C70	rom	sWinTemplates
0x082F2C98	rom	sDisplaySubtasks
0x082F2D40	rom	sDisplayStdMessages
0x082F2DC4	rom	sText_Ellipsis
0x082F2DC8	rom	sKeyboardPageTitleTexts
0x082F2DF0	rom	sUnionRoomChatInterfacePal
0x082F2E10	rom	sKeyboardCursorTiles
0x082F3094	rom	sTextEntryCursorTiles
0x082F30B4	rom	sTextEntryArrowTiles
0x082F30E0	rom	sRButtonGfxTiles
0x082F3134	rom	sSpriteSheets
0x082F315C	rom	sSpritePalette
0x082F3164	rom	sOam_KeyboardCursor
0x082F316C	rom	sAnim_KeyboardCursor_Open
0x082F3174	rom	sAnim_KeyboardCursor_Closed
0x082F317C	rom	sAnim_KeyboardCursorWide_Open
0x082F3184	rom	sAnim_KeyboardCursorWide_Closed
0x082F318C	rom	sAnims_KeyboardCursor
0x082F319C	rom	sSpriteTemplate_KeyboardCursor
0x082F31B4	rom	sOam_TextEntrySprite
0x082F31BC	rom	sSpriteTemplate_TextEntryCursor
0x082F31D4	rom	sSpriteTemplate_TextEntryArrow
0x082F31EC	rom	sOam_RButtonIcon
0x082F31F4	rom	sOam_RButtonLabel
